locus_tag	ftype	length_bp	gene	EC_number	COG	product
PDJKFJDK_00001	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
PDJKFJDK_00002	CDS	741	rplC		COG0087	50S ribosomal protein L3
PDJKFJDK_00003	CDS	621	rplD		COG0088	50S ribosomal protein L4
PDJKFJDK_00004	CDS	297	rplW		COG0089	50S ribosomal protein L23
PDJKFJDK_00005	CDS	837	rplB		COG0090	50S ribosomal protein L2
PDJKFJDK_00006	CDS	279	rpsS		COG0185	30S ribosomal protein S19
PDJKFJDK_00007	CDS	384	rplV		COG0091	50S ribosomal protein L22
PDJKFJDK_00008	CDS	747	rpsC		COG0092	30S ribosomal protein S3
PDJKFJDK_00009	CDS	414	rplP		COG0197	50S ribosomal protein L16
PDJKFJDK_00010	CDS	216	rpmC		COG0255	50S ribosomal protein L29
PDJKFJDK_00011	CDS	267	rpsQ		COG0186	30S ribosomal protein S17
PDJKFJDK_00012	CDS	1392	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PDJKFJDK_00013	CDS	459				hypothetical protein
PDJKFJDK_00014	CDS	465	ohrR_1			Organic hydroperoxide resistance transcriptional regulator
PDJKFJDK_00015	CDS	417	rplQ		COG0203	50S ribosomal protein L17
PDJKFJDK_00016	CDS	1020	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
PDJKFJDK_00017	CDS	882				hypothetical protein
PDJKFJDK_00018	CDS	390	rpsK		COG0100	30S ribosomal protein S11
PDJKFJDK_00019	CDS	369	rpsM		COG0099	30S ribosomal protein S13
PDJKFJDK_00020	CDS	603	adk	2.7.4.3		Adenylate kinase
PDJKFJDK_00021	CDS	1344	secY		COG0201	Protein translocase subunit SecY
PDJKFJDK_00022	CDS	510	rplO		COG0200	50S ribosomal protein L15
PDJKFJDK_00023	CDS	195	rpmD		COG1841	50S ribosomal protein L30
PDJKFJDK_00024	CDS	579	rpsE		COG0098	30S ribosomal protein S5
PDJKFJDK_00025	CDS	363	rplR		COG0256	50S ribosomal protein L18
PDJKFJDK_00026	CDS	534	rplF		COG0097	50S ribosomal protein L6
PDJKFJDK_00027	CDS	396	rpsH		COG0096	30S ribosomal protein S8
PDJKFJDK_00028	CDS	306	rpsN		COG0199	30S ribosomal protein S14
PDJKFJDK_00029	CDS	567	rplE		COG0094	50S ribosomal protein L5
PDJKFJDK_00030	CDS	315	rplX		COG0198	50S ribosomal protein L24
PDJKFJDK_00031	CDS	360	rplN		COG0093	50S ribosomal protein L14
PDJKFJDK_00032	CDS	282				hypothetical protein
PDJKFJDK_00033	CDS	573				hypothetical protein
PDJKFJDK_00034	CDS	381				hypothetical protein
PDJKFJDK_00035	CDS	1248				hypothetical protein
PDJKFJDK_00036	CDS	1071				hypothetical protein
PDJKFJDK_00037	CDS	513				hypothetical protein
PDJKFJDK_00038	CDS	129				hypothetical protein
PDJKFJDK_00039	CDS	297				hypothetical protein
PDJKFJDK_00040	CDS	258				hypothetical protein
PDJKFJDK_00041	CDS	513				hypothetical protein
PDJKFJDK_00042	CDS	270				hypothetical protein
PDJKFJDK_00043	tRNA	87				tRNA-Leu(taa)
PDJKFJDK_00044	CDS	1188	nagX	1.14.13.24	COG0654	3-hydroxybenzoate 6-hydroxylase
PDJKFJDK_00045	CDS	267				hypothetical protein
PDJKFJDK_00046	CDS	468				hypothetical protein
PDJKFJDK_00047	CDS	855	map	3.4.11.18	COG0024	Methionine aminopeptidase
PDJKFJDK_00048	CDS	747				hypothetical protein
PDJKFJDK_00049	CDS	1440			COG2308	putative protein
PDJKFJDK_00050	CDS	945				hypothetical protein
PDJKFJDK_00051	CDS	1488	proP_1			Proline/betaine transporter
PDJKFJDK_00052	CDS	861			COG1305	putative protein
PDJKFJDK_00053	CDS	747				hypothetical protein
PDJKFJDK_00054	CDS	708	cobB_1	2.3.1.286	COG0846	NAD-dependent protein deacylase
PDJKFJDK_00055	CDS	1215				hypothetical protein
PDJKFJDK_00056	CDS	3132				hypothetical protein
PDJKFJDK_00057	CDS	231				hypothetical protein
PDJKFJDK_00058	CDS	252				hypothetical protein
PDJKFJDK_00059	CDS	1467	degP_1	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
PDJKFJDK_00060	CDS	744				hypothetical protein
PDJKFJDK_00061	CDS	354				hypothetical protein
PDJKFJDK_00062	CDS	1305				hypothetical protein
PDJKFJDK_00063	CDS	1272				hypothetical protein
PDJKFJDK_00064	CDS	192				hypothetical protein
PDJKFJDK_00065	CDS	822				hypothetical protein
PDJKFJDK_00066	CDS	1272				hypothetical protein
PDJKFJDK_00067	CDS	1689	mcd_1	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
PDJKFJDK_00068	CDS	924				hypothetical protein
PDJKFJDK_00069	CDS	903				hypothetical protein
PDJKFJDK_00070	CDS	1041				hypothetical protein
PDJKFJDK_00071	CDS	1407	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
PDJKFJDK_00072	CDS	930	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
PDJKFJDK_00073	CDS	810	cysH	1.8.4.8		Phosphoadenosine phosphosulfate reductase
PDJKFJDK_00074	CDS	504	decR_1		COG1522	DNA-binding transcriptional activator DecR
PDJKFJDK_00075	CDS	1788	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
PDJKFJDK_00076	CDS	1890	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
PDJKFJDK_00077	CDS	858	panC	6.3.2.1	COG0414	Pantothenate synthetase
PDJKFJDK_00078	CDS	357				hypothetical protein
PDJKFJDK_00079	CDS	606				hypothetical protein
PDJKFJDK_00080	CDS	1815	recD2_1	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
PDJKFJDK_00081	CDS	858				hypothetical protein
PDJKFJDK_00082	CDS	282				IS3 family transposase ISMdi3
PDJKFJDK_00083	CDS	837				IS3 family transposase ISMdi3
PDJKFJDK_00084	CDS	1017	virS_1			HTH-type transcriptional regulator VirS
PDJKFJDK_00085	CDS	444				hypothetical protein
PDJKFJDK_00086	CDS	606				hypothetical protein
PDJKFJDK_00087	CDS	657	uvrY		COG2197	Response regulator UvrY
PDJKFJDK_00088	CDS	1446				hypothetical protein
PDJKFJDK_00089	CDS	1800	moxF_1	1.1.2.7	COG4993	Methanol dehydrogenase [cytochrome c] subunit 1
PDJKFJDK_00090	CDS	687				hypothetical protein
PDJKFJDK_00091	CDS	510				hypothetical protein
PDJKFJDK_00092	CDS	282				IS3 family transposase ISMdi3
PDJKFJDK_00093	CDS	753				IS3 family transposase ISMdi3
PDJKFJDK_00094	CDS	402				hypothetical protein
PDJKFJDK_00095	CDS	633				hypothetical protein
PDJKFJDK_00096	CDS	1014				hypothetical protein
PDJKFJDK_00097	CDS	2010				hypothetical protein
PDJKFJDK_00098	CDS	1599				hypothetical protein
PDJKFJDK_00099	CDS	1242	xerC_1			Tyrosine recombinase XerC
PDJKFJDK_00100	CDS	567	ssb		COG0629	Single-stranded DNA-binding protein
